NCLOC;DCP;NOCom;WMC;;Rang NCLOC;Rang DCP;Rang NOCom;Rang WMC
62;58,94;2;12;;341;321;539;422
53;62,41;2;13;;369;276;539;404
45;62,81;2;13;;391;269;539;404
39;65,79;2;11;;411;238;539;446
60;59,18;2;14;;344;317;539;388
41;64,66;3;14;;406;249;466;388
28;68,89;4;11;;439;219;380;446
13;78,33;3;8;;467;179;466;507
143;62,66;7;38;;199;272;211;195
155;61,06;9;47;;185;292;139;134
197;62,48;8;99;;140;274;165;45
128;60;6;27;;216;309;259;269
293;49,66;12;72;;76;467;62;71
186;52,79;7;59;;152;418;211;99
148;58,77;8;61;;195;325;165;95
158;60,7;7;69;;179;296;211;81
11;91,97;4;30;;490;12;380;242
180;58,72;9;50;;157;326;139;126
10;89,69;4;31;;503;72;380;233
75;62,5;4;26;;308;273;380;277
108;60,29;8;36;;248;306;165;212
35;73,28;4;9;;423;195;380;482
77;57,69;5;20;;304;347;311;324
13;91,28;3;22;;467;34;466;303
4;92,98;4;7;;617;2;380;539
48;64,44;3;12;;384;253;466;422
36;69,23;3;13;;421;217;466;404
44;72,84;3;20;;394;197;466;324
115;62,05;10;33;;235;279;109;223
6;91,78;5;11;;531;17;311;446
5;92,54;5;10;;574;5;311;465
34;67,31;6;10;;428;227;259;465
40;75,31;3;22;;410;191;466;303
140;61,11;11;33;;204;291;88;223
6;91,67;4;8;;531;21;380;507
125;64,79;6;40;;223;248;259;182
71;54,19;3;20;;317;392;466;324
93;58,11;9;19;;271;344;139;337
11;89,81;5;13;;490;65;311;404
73;69,71;2;27;;311;211;539;269
6;89,09;5;7;;531;79;311;539
58;59,44;4;14;;350;313;380;388
56;58,21;5;12;;357;342;311;422
49;74,07;3;26;;378;193;466;277
132;63,03;10;33;;213;267;109;223
70;49,28;8;15;;318;473;165;376
6;89,29;4;7;;531;77;380;539
425;52,35;15;131;;41;427;34;28
371;47,6;14;89;;56;501;42;50
5;91,67;4;11;;574;21;380;446
41;63,39;4;12;;406;264;380;422
37;64,08;5;10;;417;256;311;465
39;76,07;3;22;;411;187;466;303
122;61,99;12;30;;228;280;62;242
6;91,78;4;8;;531;17;380;507
41;64,66;4;13;;406;249;380;404
